= 2018-05-23 08:00:51,107 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:00:51,561 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:12:02,994 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:12:03,272 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:12:08,989 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:12:09,310 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:14:42,440 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:14:42,740 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:15:02,892 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:15:16,359 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:18:59,825 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:19:00,140 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:19:55,779 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:19:56,105 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:20:59,397 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:20:59,768 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:27:29,744 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:27:30,045 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:28:08,110 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:28:08,409 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:28:53,570 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:29:11,739 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:29:36,269 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:29:36,558 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:29:40,828 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:29:51,532 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:31:24,896 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
= 2018-05-23 08:31:42,409 ERROR com.alibaba.druid.pool.DruidDataSource.validationQueryCheck(DruidDataSource.java:774) -testOnBorrow is true, testOnReturn is true, testWhileIdle is true, validationQuery not set
